Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Reqres,,,,19-06-2025 20:21:11,19-06-2025 20:21:16,5.967s,PASSED
,,,,,,,
Test Cases/Register Success,,,,19-06-2025 20:21:11,19-06-2025 20:21:13,2.030s,PASSED
"response = sendRequest(findTestObject(""POST_Register_Success""))",,,,19-06-2025 20:21:11,19-06-2025 20:21:13,1.679s,PASSED
"verifyResponseStatusCode(response, 200)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""token"", ""QpwL5tke4Pnpja7X4"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.041s,PASSED
,,,,,,,
Test Cases/Get Users,,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.666s,PASSED
"response = sendRequest(findTestObject(""GET_Users""))",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.145s,PASSED
"verifyResponseStatusCode(response, 200)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.003s,PASSED
"verifyElementPropertyValue(response, ""page"", 2)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.022s,PASSED
"verifyElementPropertyValue(response, ""per_page"", 6)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.014s,PASSED
"verifyElementPropertyValue(response, ""total"", 12)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", 2)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.015s,PASSED
"verifyElementPropertyValue(response, ""data[0].id"", 7)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.016s,PASSED
"verifyElementPropertyValue(response, ""data[0].email"", ""michael.lawson@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[0].first_name"", ""Michael"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.014s,PASSED
"verifyElementPropertyValue(response, ""data[0].last_name"", ""Lawson"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[0].avatar"", ""https://reqres.in/img/faces/7-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[1].id"", 8)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
