Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Users,,,,19-06-2025 20:26:00,19-06-2025 20:26:03,2.905s,PASSED
,,,,,,,
Test Cases/Delete Users,,,,19-06-2025 20:26:00,19-06-2025 20:26:02,1.892s,PASSED
"response = sendRequest(findTestObject(""DELETE_Users""))",,,,19-06-2025 20:26:01,19-06-2025 20:26:02,1.621s,PASSED
"verifyResponseStatusCode(response, 204)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.009s,PASSED
,,,,,,,
Test Cases/Get Users,,,,19-06-2025 20:26:02,19-06-2025 20:26:03,0.717s,PASSED
"response = sendRequest(findTestObject(""GET_Users""))",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.187s,PASSED
"verifyResponseStatusCode(response, 200)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.003s,PASSED
"verifyElementPropertyValue(response, ""page"", 2)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.036s,PASSED
"verifyElementPropertyValue(response, ""per_page"", 6)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.014s,PASSED
"verifyElementPropertyValue(response, ""total"", 12)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.017s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", 2)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[0].id"", 7)",,,,19-06-2025 20:26:02,19-06-2025 20:26:02,0.016s,PASSED
"verifyElementPropertyValue(response, ""data[0].email"", ""michael.lawson@reqres.in"")",,,,19-06-2025 20:26:02,19-06-2025 20:26:03,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[0].first_name"", ""Michael"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[0].last_name"", ""Lawson"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[0].avatar"", ""https://reqres.in/img/faces/7-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[1].id"", 8)",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.018s,PASSED
"verifyElementPropertyValue(response, ""data[1].email"", ""lindsay.ferguson@reqres.in"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Lindsay"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[1].last_name"", ""Ferguson"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[1].avatar"", ""https://reqres.in/img/faces/8-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[2].id"", 9)",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.019s,PASSED
"verifyElementPropertyValue(response, ""data[2].email"", ""tobias.funke@reqres.in"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[2].first_name"", ""Tobias"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[2].last_name"", ""Funke"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[2].avatar"", ""https://reqres.in/img/faces/9-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
